Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,27.0693224620319,30.9361224858484
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,20.5281416810455,20.407941949491
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,63.5958395245171,61.6692426584235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,29.7545979506807,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,70.7044967935257,69.1646948026456
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,10.7056520504538,17.9248783778462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,29.7253912120334,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,72.8529128494511,73.2345915426225
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,20.0661262864303,24.1596779983146
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,53.3960122723239,55.8958073929339
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,37.7947774917249,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,35.8315874839494,34.9807938540333
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,79.3441035722346,73.0944239873751
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,17.3366737865485,13.0947573353039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,58.0107665670743,65.0945839929757
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,77.8777392199991,82.9674275396401
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,51.5720115820433,51.8569693924549
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,24.7204512110389,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,49.9708394613543,51.7434243981752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,31.5360910045004,31.4575032617598
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,30.8682960291245,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,35.1148756307611,40.0400711149533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,53.0908973428197,37.0878176552067
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,12.900191418386,14.1229191913178
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,52.2130112999105,57.9460406090157
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,63.7864172382015,64.1822870820611
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,26.1076455357024,29.2576956572794
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,6.41727356534236,5.17203999926172
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,41.1352016327173,46.7050331370949
